2026-06-10 03:31:43 startup archives install
2026-06-10 03:31:43 install base-passwd:arm64 <none> 3.6.8
2026-06-10 03:31:43 status half-installed base-passwd:arm64 3.6.8
2026-06-10 03:31:43 status unpacked base-passwd:arm64 3.6.8
2026-06-10 03:31:43 configure base-passwd:arm64 3.6.8 3.6.8
2026-06-10 03:31:43 status half-configured base-passwd:arm64 3.6.8
2026-06-10 03:31:44 status installed base-passwd:arm64 3.6.8
2026-06-10 03:31:44 startup archives install
2026-06-10 03:31:44 install base-files:arm64 <none> 14ubuntu6
2026-06-10 03:31:44 status half-installed base-files:arm64 14ubuntu6
2026-06-10 03:31:44 status unpacked base-files:arm64 14ubuntu6
2026-06-10 03:31:44 configure base-files:arm64 14ubuntu6 14ubuntu6
2026-06-10 03:31:44 status half-configured base-files:arm64 14ubuntu6
2026-06-10 03:31:44 status installed base-files:arm64 14ubuntu6
2026-06-10 03:31:44 startup archives install
2026-06-10 03:31:44 upgrade dpkg 1.23.7ubuntu1 1.23.7ubuntu1
2026-06-10 03:31:44 status half-configured dpkg 1.23.7ubuntu1
2026-06-10 03:31:44 status unpacked dpkg 1.23.7ubuntu1
2026-06-10 03:31:44 status half-installed dpkg 1.23.7ubuntu1
2026-06-10 03:31:44 status unpacked dpkg:arm64 1.23.7ubuntu1
2026-06-10 03:31:44 configure dpkg:arm64 1.23.7ubuntu1 1.23.7ubuntu1
2026-06-10 03:31:44 status half-configured dpkg:arm64 1.23.7ubuntu1
2026-06-10 03:31:44 status installed dpkg:arm64 1.23.7ubuntu1
2026-06-10 03:31:44 startup archives install
2026-06-10 03:31:44 install libc6:arm64 <none> 2.43-2ubuntu2
2026-06-10 03:31:44 status half-installed libc6:arm64 2.43-2ubuntu2
2026-06-10 03:31:44 status unpacked libc6:arm64 2.43-2ubuntu2
2026-06-10 03:31:44 configure libc6:arm64 2.43-2ubuntu2 2.43-2ubuntu2
2026-06-10 03:31:44 status half-configured libc6:arm64 2.43-2ubuntu2
2026-06-10 03:31:44 status installed libc6:arm64 2.43-2ubuntu2
2026-06-10 03:31:44 startup archives install
2026-06-10 03:31:45 install perl-base:arm64 <none> 5.40.1-7build1
2026-06-10 03:31:45 status half-installed perl-base:arm64 5.40.1-7build1
2026-06-10 03:31:45 status unpacked perl-base:arm64 5.40.1-7build1
2026-06-10 03:31:45 configure perl-base:arm64 5.40.1-7build1 5.40.1-7build1
2026-06-10 03:31:45 status half-configured perl-base:arm64 5.40.1-7build1
2026-06-10 03:31:45 status installed perl-base:arm64 5.40.1-7build1
2026-06-10 03:31:45 startup archives install
2026-06-10 03:31:45 install mawk:arm64 <none> 1.3.4.20260129-1
2026-06-10 03:31:45 status half-installed mawk:arm64 1.3.4.20260129-1
2026-06-10 03:31:45 status unpacked mawk:arm64 1.3.4.20260129-1
2026-06-10 03:31:45 configure mawk:arm64 1.3.4.20260129-1 1.3.4.20260129-1
2026-06-10 03:31:45 status half-configured mawk:arm64 1.3.4.20260129-1
2026-06-10 03:31:45 status installed mawk:arm64 1.3.4.20260129-1
2026-06-10 03:31:45 startup archives unpack
2026-06-10 03:31:45 upgrade base-files:arm64 14ubuntu6 14ubuntu6
2026-06-10 03:31:45 status half-configured base-files:arm64 14ubuntu6
2026-06-10 03:31:45 status unpacked base-files:arm64 14ubuntu6
2026-06-10 03:31:45 status half-installed base-files:arm64 14ubuntu6
2026-06-10 03:31:45 status unpacked base-files:arm64 14ubuntu6
2026-06-10 03:31:45 upgrade base-passwd:arm64 3.6.8 3.6.8
2026-06-10 03:31:45 status half-configured base-passwd:arm64 3.6.8
2026-06-10 03:31:45 status unpacked base-passwd:arm64 3.6.8
2026-06-10 03:31:45 status half-installed base-passwd:arm64 3.6.8
2026-06-10 03:31:45 status unpacked base-passwd:arm64 3.6.8
2026-06-10 03:31:45 install bash:arm64 <none> 5.3-2ubuntu1
2026-06-10 03:31:45 status half-installed bash:arm64 5.3-2ubuntu1
2026-06-10 03:31:45 status unpacked bash:arm64 5.3-2ubuntu1
2026-06-10 03:31:45 install bsdutils:arm64 <none> 1:2.41.3-3ubuntu2
2026-06-10 03:31:45 status half-installed bsdutils:arm64 1:2.41.3-3ubuntu2
2026-06-10 03:31:45 status unpacked bsdutils:arm64 1:2.41.3-3ubuntu2
2026-06-10 03:31:45 install coreutils:all <none> 9.5-1ubuntu2+0.0.0~ubuntu25
2026-06-10 03:31:45 status half-installed coreutils:all 9.5-1ubuntu2+0.0.0~ubuntu25
2026-06-10 03:31:45 status unpacked coreutils:all 9.5-1ubuntu2+0.0.0~ubuntu25
2026-06-10 03:31:45 install coreutils-from-uutils:all <none> 0.0.0~ubuntu25
2026-06-10 03:31:45 status half-installed coreutils-from-uutils:all 0.0.0~ubuntu25
2026-06-10 03:31:45 status unpacked coreutils-from-uutils:all 0.0.0~ubuntu25
2026-06-10 03:31:46 install dash:arm64 <none> 0.5.12-12ubuntu3
2026-06-10 03:31:46 status half-installed dash:arm64 0.5.12-12ubuntu3
2026-06-10 03:31:46 status unpacked dash:arm64 0.5.12-12ubuntu3
2026-06-10 03:31:46 install debconf:all <none> 1.5.92
2026-06-10 03:31:46 status half-installed debconf:all 1.5.92
2026-06-10 03:31:46 status unpacked debconf:all 1.5.92
2026-06-10 03:31:46 install debianutils:arm64 <none> 5.23.2build1
2026-06-10 03:31:46 status half-installed debianutils:arm64 5.23.2build1
2026-06-10 03:31:46 status unpacked debianutils:arm64 5.23.2build1
2026-06-10 03:31:46 install diffutils:arm64 <none> 1:3.12-1
2026-06-10 03:31:46 status half-installed diffutils:arm64 1:3.12-1
2026-06-10 03:31:46 status unpacked diffutils:arm64 1:3.12-1
2026-06-10 03:31:46 upgrade dpkg:arm64 1.23.7ubuntu1 1.23.7ubuntu1
2026-06-10 03:31:46 status half-configured dpkg:arm64 1.23.7ubuntu1
2026-06-10 03:31:46 status unpacked dpkg:arm64 1.23.7ubuntu1
2026-06-10 03:31:46 status half-installed dpkg:arm64 1.23.7ubuntu1
2026-06-10 03:31:46 status unpacked dpkg:arm64 1.23.7ubuntu1
2026-06-10 03:31:46 install e2fsprogs:arm64 <none> 1.47.2-3ubuntu4
2026-06-10 03:31:46 status half-installed e2fsprogs:arm64 1.47.2-3ubuntu4
2026-06-10 03:31:46 status unpacked e2fsprogs:arm64 1.47.2-3ubuntu4
2026-06-10 03:31:46 install findutils:arm64 <none> 4.10.0-3build2
2026-06-10 03:31:46 status half-installed findutils:arm64 4.10.0-3build2
2026-06-10 03:31:46 status unpacked findutils:arm64 4.10.0-3build2
2026-06-10 03:31:46 install gcc-16-base:arm64 <none> 16-20260322-1ubuntu1
2026-06-10 03:31:46 status half-installed gcc-16-base:arm64 16-20260322-1ubuntu1
2026-06-10 03:31:46 status unpacked gcc-16-base:arm64 16-20260322-1ubuntu1
2026-06-10 03:31:46 install gnu-coreutils:arm64 <none> 9.7-3ubuntu2
2026-06-10 03:31:46 status half-installed gnu-coreutils:arm64 9.7-3ubuntu2
2026-06-10 03:31:46 status unpacked gnu-coreutils:arm64 9.7-3ubuntu2
2026-06-10 03:31:46 install grep:arm64 <none> 3.12-1
2026-06-10 03:31:46 status half-installed grep:arm64 3.12-1
2026-06-10 03:31:46 status unpacked grep:arm64 3.12-1
2026-06-10 03:31:46 install gzip:arm64 <none> 1.14-1~exp2ubuntu1
2026-06-10 03:31:46 status half-installed gzip:arm64 1.14-1~exp2ubuntu1
2026-06-10 03:31:46 status unpacked gzip:arm64 1.14-1~exp2ubuntu1
2026-06-10 03:31:46 install hostname:arm64 <none> 3.25build1
2026-06-10 03:31:46 status half-installed hostname:arm64 3.25build1
2026-06-10 03:31:46 status unpacked hostname:arm64 3.25build1
2026-06-10 03:31:46 install init-system-helpers:all <none> 1.69
2026-06-10 03:31:46 status half-installed init-system-helpers:all 1.69
2026-06-10 03:31:46 status unpacked init-system-helpers:all 1.69
2026-06-10 03:31:46 install libacl1:arm64 <none> 2.3.2-2
2026-06-10 03:31:46 status half-installed libacl1:arm64 2.3.2-2
2026-06-10 03:31:46 status unpacked libacl1:arm64 2.3.2-2
2026-06-10 03:31:46 install libattr1:arm64 <none> 1:2.5.2-4
2026-06-10 03:31:46 status half-installed libattr1:arm64 1:2.5.2-4
2026-06-10 03:31:46 status unpacked libattr1:arm64 1:2.5.2-4
2026-06-10 03:31:46 install libaudit-common:all <none> 1:4.1.2-1build1
2026-06-10 03:31:46 status half-installed libaudit-common:all 1:4.1.2-1build1
